Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,AUT,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.458185699,1.309337523,1.352071859,1.579667758,1.887300243,1.507213387,1.624405132,1.609166416,1.542674749,1.499256567,1.380130121,1.246106954,1.202286665,1.184988573,1.276882519,1.451278364,1.365196811,1.345951891,1.429212612,1.433845732,1.420246106,1.380051733,1.41299673,1.391175884,1.414158336,1.512623567,1.508758541,1.416677903,1.299181144,1.234154925,1.195660267,1.154217118,1.099214072,1.115584541,1.094453076,1.073232052,1.049682977,1.046433982,1.018072863,0.980246123,0.98031858,0.908240041,0.883527837,0.913640319,0.893480466,0.850142574,0.785813244,0.900457173,0.870705123,0.833379565,0.821232712,0.790897558,0.778464251,0.750825383,0.747780095,0.698138152,0.729737692,0.757321291,0.744858294,0.72740941,0.836613874
Azerbaijan,AZE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,2.400225621,5.000467786,1.94658459,2.736901303,2.254230341,2.324049799,2.412355913,2.625109931,2.267862063,2.312062608,2.24331377,2.426362555,2.629481138,2.299069675,3.417759333,2.864194919,3.291211146,3.325421682,2.791004357,4.670135555,4.658618252,4.54092331,4.555013124,5.464876793,3.688527303,3.756301732,3.562401234,3.873411703,5.390494994
Burundi,BDI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.943793911,3.943793911,3.943793911,0.434782609,0.445620494,1.352337005,1.382287925,1.332606884,1.414223331,1.754491378,1.754491378,1.032408654,1.458670989,1.946212277,2.225082751,2.056807052,2.2236012,2.533381742,2.796373652,2.643715301,2.918803369,3.030330243,3.50702489,3.104808926,2.975400785,2.751172646,2.805413158,2.649139912,3.145245149,3.349522133,3.448712473,3.786270865,3.595637948,3.72027582,3.921111198,4.209072899,5.856884919,6.359652961,6.572272507,6.257643657,4.862402213,6.071737158,5.441678859,5.533435389,4.903266843,4.436190041,3.511718452,3.414595248,2.720890527,2.720890527,2.720890527,2.720890527,2.527177708,2.367638193,2.119090371,2.201862734,2.115625208,1.870652158,1.882161447,2.497152014,1.97921599
Belgium,BEL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.397347867,3.259070074,3.284752167,3.216630963,3.213471659,2.973063602,3.112586029,3.134581624,3.115090011,2.931814996,2.918640097,2.898925919,2.880760041,2.835311133,2.761416188,3.065034539,3.093369534,3.143248647,3.261522061,3.261345018,3.250195386,3.366049436,3.269944591,3.19141317,3.007902449,2.931233854,2.953772624,2.901794793,2.628748416,2.460854324,2.355440459,2.287692847,1.83233253,1.735965893,1.67714315,1.565752151,1.540102651,1.476975796,1.463919265,1.385835559,1.341210276,1.276504166,1.215712208,1.214988156,1.149272139,1.091560058,1.051239186,1.094535301,1.213898317,1.160039922,1.084632861,1.043506795,1.04175649,1.008959479,0.970959791,0.909284202,0.894706236,0.883680595,0.890644486,0.89304295,1.080842257
Benin,BEN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.871584699,1.395287958,1.751633987,1.736842105,2.18169901,2.106508876,1.900232597,1.976252106,2.072124756,1.894736842,1.625281519,1.601042034,1.487794309,1.67752809,1.442379182,1.492907801,1.28164794,1.678787879,1.194306931,1.930460034,2.031651419,1.551371319,1.04929865,1.188970677,1.45869894,1.304931932,1.35509654,1.5695985,1.564091205,1.307896061,1.225157121,1.225157121,1.225157121,1.225157121,1.225157121,1.225157121,1.225157121,1.225157121,1.225157121,0.48538923,0.412852302,0.357971127,0.622819458,0.647223227,0.67614985,0.680970685,0.665723324,0.665723324,0.66395898,0.66395898,0.66395898,0.66395898,0.702056158,0.687239683,0.700924949,0.798484705,0.673596727,0.920613124,0.63285754,0.472934841,0.470634917
Burkina Faso,BFA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.682017544,0.83436853,2.345703125,2.38305709,2.60515873,1.524822695,1.649484536,1.325072886,1.178481013,1.246722288,1.172239108,1.177165354,1.139853748,1.235186873,1.151908397,2.811183733,3.123828648,3.043266631,3.283146067,2.698613861,2.746691176,2.842689698,3.003303634,2.932183416,3.017167437,1.836525411,2.621893491,2.252586462,2.310812644,2.740774077,2.704892966,2.166869267,2.049651568,1.862529885,1.422884729,1.383042694,1.28708847,1.417055045,1.27636264,1.385531386,1.392162753,1.299789896,1.324409972,1.207283348,1.357968367,1.351394486,1.249086676,1.592267582,1.397903771,1.521454726,1.377516262,1.294759503,1.323023735,1.390102776,1.431285455,1.419815231,1.375362376,1.556273179,2.165041746,2.606037509,2.733953813
Bangladesh,BGD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.656720537,0.656720537,0.656720537,0.656720537,0.656720537,0.656720537,0.656720537,0.656720537,0.656720537,0.656720537,0.656720537,0.656720537,0.656720537,0.656720537,0.604303492,0.844783331,1.523678975,1.569977813,1.268985181,0.934292961,0.857420859,0.915831691,1.060869685,1.270673712,1.17804196,1.054272784,1.112191676,1.168232539,1.246388097,1.290861801,1.223165026,1.214422802,1.36050315,1.429390515,1.529023664,1.566693141,1.539073594,1.571667926,1.567535198,1.584834391,1.357119181,1.288422776,1.185764388,1.138286942,1.123505863,1.09089437,1.108238774,1.114480186,1.059529893,1.156730939,1.320837396,1.355517777,1.324419491,1.258197522,1.279412463,1.350969947,1.372321482,1.240256126,1.263999785,1.348906693,1.301862862
Bulgaria,BGR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,4.39627075,3.83344349,3.043231573,2.972633843,2.609271612,2.492617286,2.374131284,2.402934109,2.430701355,2.453059147,2.645171956,2.671170465,2.884461387,2.80125965,2.712020749,2.391993484,2.252898222,2.096991297,2.229611261,2.133524802,1.739511524,1.652468225,1.320717319,1.33635532,1.459340112,1.313704521,1.248848117,1.246707289,1.226243678,1.451568367,3.148475544,1.82470414
Bahrain,BHR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.526179854,1.526179854,1.526179854,1.526179854,1.526179854,1.526179854,1.526179854,1.526179854,1.526179854,1.526179854,1.526179854,1.526179854,1.526179854,1.526179854,1.526179854,1.526179854,1.75228724,2.077922078,4.958131335,5.892751915,5.698891307,6.902581566,8.535161949,4.790336018,4.179305696,4.588158182,5.837762481,5.253253881,5.603045758,5.644661664,5.284791544,5.703750648,5.878071992,5.369855167,5.111302188,5.18323179,5.273939764,5.068487413,5.333103953,5.503621544,3.961670969,4.148081632,4.611106606,4.658832803,4.044928848,3.214381095,3.102947728,2.956990234,2.800161369,3.61053525,3.277755942,3.591497227,3.844573702,4.141451788,4.418589461,4.632877365,4.671440867,4.33877531,4.07429483,4.055054417,4.074397375
Bosnia and Herzegovina,BIH,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,3.904372905,2.41669769,1.889602808,1.544219658,1.386533488,1.236152863,1.220612,1.376586159,1.280341444,1.136430264,1.145571921,1.087055798,1.025826887,1.000613746,0.933900815,0.864182658,0.852548557,0.8200662,0.875244991
