Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belarus,BLR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,1.622498648,2.790971461,3.621608255,1.699463769,1.26069256,1.768966551,1.495098702,1.366760738,1.346984151,1.438290747,1.400245801,1.2990639,1.358222314,1.498453135,1.709412492,1.649765914,1.453492852,1.372576981,1.341383433,1.22449511,1.229218722,1.270796652,1.26884247,1.257482359,1.253515045,1.146289015,1.182261729,1.226168363,1.25428103
Belize,BLZ,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.158969928,1.158969928,1.158969928,1.158969928,1.158969928,1.158969928,1.158969928,1.158969928,1.158969928,1.158969928,1.158969928,1.158969928,1.158969928,1.158969928,1.158969928,1.158969928,1.158969928,1.158969928,1.158969928,1.158969928,1.158969928,1.158969928,1.437587169,1.534381036,1.543918919,1.559825996,1.559825996,1.559825996,1.559825996,1.199332232,1.176307351,1.094053398,1.021547148,1.095492316,1.36043658,1.298850806,1.242144862,1.435666259,1.435666259,1.435666259,0.855252088,0.855039571,0.839626562,0.863555814,0.896738668,0.961314172,1.008915151,1.066140405,1.367605852,1.310816767,1.113671387,1.055329118,0.999351704,1.125663091,1.197789504,1.143856161,1.223192232,1.255364915,1.294665671,1.331671046,1.574830602
Bolivia,BOL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.203463986,1.203463986,1.158699993,1.326412016,1.326412016,1.326412016,1.326412016,1.326412016,1.350152185,1.318224897,1.61221645,1.391585766,1.595541894,1.622636209,1.836654098,2.371237115,2.367156575,2.247499441,2.598970098,2.708461078,3.172399893,3.902203322,1.9818473,1.499320703,2.170841736,2.013992525,2.345549228,2.377263176,2.02098132,2.1562887,2.815883319,2.688324857,2.506118833,1.91634981,2.250301234,2.096162258,1.986807543,2.273610301,2.69111086,2.133287095,2.062971201,2.264906498,2.029451875,2.145792545,1.924982155,1.772543032,1.567656118,1.686580784,1.96227205,1.994105729,1.666248801,1.684120002,1.845594675,1.840906756,1.89684061,1.743839017,1.627932972,1.536277694,1.536596285,1.463637574,1.57351874
Brazil,BRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.679134726,2.364066194,2.398683307,2.260839182,2.014498091,3.352092157,3.021981632,2.856972008,2.649740158,2.615590006,2.887289557,2.619046859,2.43581199,2.154651306,1.941353411,1.972143796,2.002753365,1.687726478,1.59967155,1.521931686,1.138434421,1.143148768,1.303534361,1.254580323,1.199541045,1.429523122,1.220388728,1.743994031,2.118072205,2.68625,2.363841025,1.963333333,1.521528861,1.927922815,2.016007789,1.86213698,1.6548435,1.577688316,1.66229192,1.645474667,1.730726147,1.951882445,1.895771199,1.503477636,1.461268409,1.524013393,1.481084895,1.4662921,1.441924093,1.538625697,1.539406981,1.411851159,1.378656465,1.329446084,1.330244423,1.365517154,1.347975413,1.414485611,1.494203353,1.407988516,1.439168226
Brunei Darussalam,BRN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.574084402,2.88778814,4.670729808,3.792514955,6.6299771,6.21043627,6.437735269,6.404350125,6.245144781,5.740231735,5.982471359,5.477265965,6.249493831,7.183964552,7.529843893,6.130418352,4.06920549,3.886397608,3.870782758,3.711419618,2.532730088,2.349427638,2.303963195,2.380152244,2.261792369,2.941072032,2.850487901,2.24224142,2.159034489,2.277507595,3.086860958,3.279290461,3.539384699,2.865169907,2.636612485,3.078642143,4.080878304
Botswana,BWA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.356572569,1.356572569,1.356572569,1.356572569,1.356572569,1.356572569,1.356572569,1.356572569,1.356572569,1.356572569,1.356572569,1.356572569,1.356572569,1.356572569,1.356572569,1.356572569,1.356572569,1.356572569,2.874909003,3.501499383,3.207620529,2.978298115,2.69474386,2.326337698,2.437270832,2.184731489,2.663595803,4.794414575,4.899677023,3.56901008,4.445158035,4.603469927,4.482809049,4.933491973,4.008120396,3.506479719,2.899521498,3.197204627,3.779398844,3.092073755,3.191242951,3.831223033,4.11020649,4.007366589,3.505874041,2.858004185,2.695121374,2.801455193,3.036968238,3.215590561,2.726858683,2.366646334,2.266761131,2.056395513,2.130855509,2.660266574,3.28777595,3.005878803,2.676088923,2.812261003,3.502285859
Central African Republic,CAF,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.568069342,1.642125317,1.497087845,1.255882652,1.16678192,1.210192071,1.210192071,1.210192071,1.210192071,1.210192071,1.210192071,1.109131185,1.35309986,1.201693015,1.15123645,1.15123645,1.125878508,1.587181967,1.816206731,2.597425043,2.271558766,1.970128935,3.155823963,2.25538964,1.686089014,1.528332632,1.435967607,1.43304054,1.915529229,1.872148627
Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.18525654,4.128312243,3.999216389,3.620650112,3.402062837,2.930260659,2.683282422,2.74792677,2.54364188,2.27378467,2.188979696,2.131485639,2.011818438,1.832601818,1.783813085,1.863541853,1.765927978,1.8057636,1.848887401,1.711245918,1.764448615,1.709915638,1.954343585,2.081196249,2.117188855,2.097376234,2.109197118,2.062576371,1.986767119,1.934614309,1.958793742,1.895444339,1.8616877,1.821753504,1.696680257,1.554090071,1.403752581,1.246243202,1.256293902,1.241703064,1.11808088,1.137368973,1.120852292,1.115878799,1.107966027,1.110669655,1.125832408,1.188901783,1.248621382,1.377555631,1.194338338,1.193291895,1.118404598,1.0023672,0.989925299,1.152709374,1.164161567,1.351602232,1.324681094,1.27894142,1.415055841
Central Europe and the Baltics,CEB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,4.659717493,3.413760558,2.742634927,2.565342197,2.3505069,2.280135062,2.371441626,2.248606012,2.331931819,2.173195687,1.953651701,1.860443102,1.892374152,1.895857779,1.860890465,1.753611782,1.774121291,1.694450945,1.653391358,1.530711911,1.522134673,1.47348526,1.40854475,1.396935557,1.372527133,1.419879585,1.534283619,1.480359053,1.517215338,1.643974196,1.755485336,1.955997479
Switzerland,CHE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.341450361,2.469077069,2.567567568,2.516336682,2.535855697,2.467959251,2.530793359,2.382373845,2.176517572,2.197923705,2.103347488,2.052526822,1.968126125,1.861448562,1.875974486,1.900752738,2.162581009,2.022086563,1.967364431,2.039799426,1.678606546,1.662802221,1.728194511,1.748805589,1.701248303,1.824971868,1.661021951,1.561866055,1.564805264,1.524165367,1.572147188,1.537824886,1.523709272,1.366964345,1.332284094,1.355810883,1.284335761,1.220946312,1.184320033,1.085401612,1.029280853,0.991880362,0.956388839,0.926631178,0.888924253,0.852623305,0.772549506,0.734436406,0.71863774,0.726566529,0.682000296,0.688864301,0.663502197,0.706124077,0.628104288,0.643890851,0.657387011,0.656917773,0.632561531,0.699250733,0.778520639
Chile,CHL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.118405627,3.527447297,3.043709078,2.865395725,2.635186596,2.885712733,2.735920852,2.713632634,2.527068178,2.260899987,4.450450634,6.264815442,6.625414195,6.283820901,7.109561164,6.742536661,6.085050825,6.915244814,6.728122321,6.332556333,6.48209287,7.022118889,8.877267738,7.575222602,7.605406176,6.900608611,6.288002199,5.638071075,4.13999608,3.590029509,3.401654859,2.849842767,2.628510469,2.706922937,2.597544983,2.562064629,2.449320898,2.498201924,2.589837226,2.713631594,2.703282046,2.667495173,2.552093091,2.733843212,2.707975136,2.521502877,2.49083178,2.318802202,2.584010483,2.263607889,2.23946831,2.254395656,2.046290407,1.986419474,1.958526713,1.898487266,1.91538872,1.9358293,1.859638618,1.837381841,1.853907407
China,CHN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.447101315,2.454016116,2.311243412,2.449542068,1.928066874,1.693479599,1.686233887,1.65272667,1.632650673,1.655080691,1.871465914,1.830343718,1.976185991,2.049686062,1.983406274,1.927764976,1.85334244,1.85464884,1.739812859,1.712334361,1.886133152,1.73947515,1.665576053,1.693368163,1.702855096,1.728689068,1.750717767,1.770695719,1.74645507,1.739533683,1.727827863,1.749795773
