Year,Rank,Company,Leadership,Country,Defense_Revenue_From_A_Year_Ago,Defense_Revenue_From_Two_Years_Ago,%Defense Revenue Change,Total Revenue,%of Revenue from Defence
2018,55,Aselsan,"Haluk Görgün, Chairman, President and CEO",Turkey,1424.93,1195.28,19,1470.91,97
2018,56,Fincantieri,"Giuseppe Bono, CEO",Italy,1369.23,1306.51,5,5672.14,24
2018,57,Accenture,"Pierre Nanterme, Chairman and CEO",U.S.,1343,1315,2,34900,4
2018,58,ManTech International,"George Pedersen, Executive Chairman and Chairman of the Board, and Kevin Phillips, President and CEO",U.S.,1300,1454.25,-11,1720,76
2018,59,Bharat Electronics Ltd,"M V Gowtama, Chairman and Managing Director",India,1270,1164.9,9,1500,85
2018,60,Serco 1,"Dave Dacquino, Chairman and CEO",U.K.,1236.84,1305.14,-5,4264.95,29
2018,61,Fluor,"David Seaton, Chairman and CEO",U.S.,1217.06,986.67,23,19521,6
2018,62,PAE,"John Heller, CEO",U.S.,1127.35,1145.14,-2,2331.59,48
2018,63,Vectrus,"Chuck Prow, President and CEO",U.S.,1114.79,1190.52,-6,1114.79,100
2018,64,Turkish Aerospace Industries,"Temel Kotil, President and CEO",Turkey,1089.63,1083.75,1,1421.67,77
2018,66,Korea Aerospace Industries,"Kim Jo-won, President and CEO",South Korea,982.28,1818.69,-46,1829.8,54
2018,67,Austal,"David Singleton, CEO",Australia,969.12,920,5,986.3,98
2018,68,Ultra Electronics,"Simon Pryce, CEO",U.K.,951.97,943.32,1,1160.94,82
2018,69,Embraer,"Paulo Cesar de Souza e Silva, CEO",Brazil,951,932.7,2,5839.3,16
2018,70,Cubic,"Bradley Feldmann, Chairman, President and CEO",U.S.,907.27,875.3,4,1485.86,61
2018,71,Meggitt 20,"Tony Wood, CEO*",U.K.,910.97,943.76,-3,2602.78,35
2018,72,Ukroboronprom 5 21,"Pavlo Bukin, Director General",Ukraine,873.45,852.52,2,1063.82,82
2018,73,Ruag,"Urs Breitmeier, CEO Ruag Group, Chairman of the Group Executive Board",Switzerland,873.83,816.19,7,1985.98,44
2018,74,Mitsubishi Electric 18,"Masaki Sakuyama, Chairman",Japan,863.77,682.63,27,41803.76,2
2018,75,Curtiss-Wright,"David Adams, Chairman and CEO",U.S.,862.69,787.27,10,2271.03,38
2018,76,Moog Inc.,"John Scannell, CEO",U.S.,861.8,848.39,2,2497.52,35
2018,77,QinetiQ Plc,"Steve Wadey, CEO",U.K.,850.64,912.22,-7,1104.75,77
2018,78,CAE,"Marc Parent, President and CEO",Canada,836.73,741.16,13,2182.23,38
2018,79,Engility,"Lynn Dugle, Chairman, President and CEO",U.S.,776.32,888.72,-13,1931.89,40
2018,80,ViaSat,"Mark Dankberg, Chairman of the Board and CEO",U.S.,772.1,685.1,13,1594.6,48
2018,81,Kongsberg 1 22,"Geir Håøy, President and CEO",Norway,771.33,894.29,-14,1753.03,44
2018,82,Indra,"Fernando Abril-Martorell, Chairman and CEO",Spain,673.41,671.22,0,3402.1,20
2018,83,Ball,"Robert Strain, President",U.S.,665.17,551.2,21,990.56,67
2018,84,Denel 23,"Monhla Hlahla, chairman*",South Africa,621.23,559.5,11,621.23,8
2018,85,Day & Zimmermann,"Hal Yoh, Chair and CEO",U.S.,617.65,521.4,18,2530,24
2018,86,IMI Systems,"Avi Felder, President and CEO",Israel,611.38,496,23,611.38,100
2018,87,AAR,"John Holmes, President and CEO",U.S.,597.6,652.3,-8,1767.6,34
2018,88,Chemring 7,"Michael Ord, Group Chief Executive",U.K.,585.51,543.04,8,697.04,84
2018,90,Patria 22 24,"Olli Isotalo, President and CEO",Finland,486.17,530.6,-8,528.45,92
2018,91,Diehl Defence Holding 25,"Karl Tragl, President and CEO*",Germany,515.23,482.85,7,4235.96,12
2018,92,Battelle,"Lewis ""Lou"" Von Thaer, President and CEO",U.S.,450,470,-4,4900,9
2018,93,Hyundai Rotem Company,"Seung-tack Kim, CEO and President",South Korea,446.87,517.86,-14,2406.76,19
2018,94,Fujitsu Ltd.,"Tatsuya Tanaka, Representative Director President",Japan,432.66,440.47,-2,36991.97,1
2018,95,Nammo 5 26,"Morten Brandtzæg, President and CEO",Norway,431.78,393.4,10,539.82,80
2018,96,Roketsan,"Selcuk Yasar, President and CEO",Turkey,376.08,363.69,3,376.08,100
2018,97,STM Savunma Teknolojileri Muhendislik ve Ticaret A.S.,"Davut Yilmaz, General Manager",Turkey,369.96,342.6,8,414.1,89
2018,98,Telephonics Corporation,"Kevin McSweeney, President",U.S.,366.91,403.23,-9,1985.91,18
2018,99,Komatsu Ltd. 18,"Kunio Noji, Chairman",Japan,252.56,884.66,-71,22574.99,1
2017,1,Lockheed Martin 1,"Marillyn Hewson, Chairman, President and CEO",U.S.,43468,40596,7,47248,92
2017,2,Boeing,"Dennis Muilenburg, President and CEO",U.S.,29500,30388,-3,94571,31
2017,3,BAE Systems 2,"Charles Woodburn, CEO",U.K.,23621.84,25278.08,-7,25867.2,91
2017,4,Raytheon Company 1,"Thomas Kennedy, Chairman and CEO",U.S.,22384.17,21619.71,4,24069,93
2017,5,Northrop Grumman 3,"Wes Bush, Chairman, President and CEO",U.S.,20200,17600,15,24508,82
2017,6,General Dynamics,"Phebe Novakovic, Chairman and CEO",U.S.,19696,19148,3,31353,63
2017,7,Airbus,"Fabrice Brégier, President and CEO",Netherlands/France,12321,12776.1,-4,73903.8,17
2017,8,L3 Technologies,"Michael Strianese, Chairman, President and CEO",U.S.,8879,8772,1,10511,84
2017,9,Leonardo 4,"Alessandro Profumo, CEO",Italy,8526.22,9318.45,-9,13322.22,64
2017,10,Thales,"Patrice Caine, Chairman and CEO",France,8362,7863.24,6,16837,50
2017,11,Almaz-Antey,"Yan Novikov, CEO",Russia,7412.9,6965.77,6,7412.9,100
2017,12,United Technologies,"Gregory Hayes, President, CEO and Director",U.S.,6888,6780,2,57400,12
2017,13,Huntington Ingalls Industries 1,"Mike Petters, President and CEO",U.S.,6778.21,6879.6,-1,7068,96
2017,14,United Aircraft Corp. 1,"Yury Slyusar, President and Chairman",Russia,5636.84,4643.76,21,7046.05,80
2017,15,Rolls-Royce,"Warren East, CEO",U.K.,4741.15,4790.28,-1,18675.97,25
2017,16,Textron Inc.,"Scott Donnelly, Chairman, President and CEO",U.S.,4412.16,4161.13,6,13788,32
2017,17,Honeywell 5,"Dave Cote, Executive Chairman",U.S.,4375,4715,-7,39302,11
2017,18,Leidos,"Roger Krone, Chairman and CEO",U.S.,4252,3248,31,7043,60
2017,19,Hanwha 6,"Seung Youn Kim, Chairman",South Korea,4214.97,3104,36,40523.38,10
2017,20,Harris Corporation 7,"Bill Brown, Chairman, President and CEO",U.S.,4213,4400,-4,5950,71
2017,21,Mitsubishi Heavy Industries Ltd. 8,"Shunichi Miyanaga, President and CEO",Japan,4033.48,2395.12,68,34834.6,12
2017,22,Booz Allen Hamilton 9,"Horacio Rozanski, President and CEO",U.S.,4000,3900,3,5804.28,69
2017,23,DCNS Group,"Hervé Guillou, Chairman and CEO",France,3540.9,3288.55,8,3540.9,100
2017,24,GE Aviation,"David Joyce, President and CEO",U.S.,3500,3700,-5,26000,13
2017,25,GKN Aerospace 110,"Kevin Cummings, CEO",U.K.,3316.55,2604.65,27,12755.97,26
2017,26,Rheinmetall,"Armin Papperger, CEO",Germany,3270.06,2876.01,14,5753.13,57
2017,27,Elbit Systems Ltd.,"Bezhalel Machlis, President and CEO",Israel,3147.2,3108,1,3260.22,97
2017,28,Bechtel 11,"Brendan Bechtel, CEO",U.S.,3020,3230,-7,32300,9
2017,29,Backbock International 1 12,"Archie Bethel, CEO",U.K.,2963.71,3357.41,-12,6174.4,48
2017,30,AECOM,"Michael Burke, Chairman and CEO",U.S.,2939.8,2735,7,17410.8,17
2017,31,Orbital ATK,"David Thompson, President and CEO",U.S.,2871,2775,3,4450,65
2017,32,"Tactical Missiles Corporation, JSC","Boris Obnosov, Director General",Russia,2866.24,2387.78,20,2920.32,98
2017,33,Israel Aerospace Industries,"Joseph Weiss, President & CEO",Israel,2618,2776,-6,3577,73
2017,34,SAIC,"Tony Moraco, CEO",U.S.,2581,2838,-9,4450,58
2017,35,Hindustan Aeronautics,"T. Suvarna Raju, Chairman and Managing Director",India,2518.6,2410.97,4,2697.93,93
2017,36,CACI International,"Ken Asbury, President and CEO",U.S.,2439.33,2217.03,10,3744.05,65
2017,37,Rafael Advanced Defense Systems,"Yoav Har-Even, President and CEO",Israel,2354.56,2016.17,17,2354.56,100
2017,38,Saab,"Håkan Buskhe, President and CEO",Sweden,2307.62,2643.83,-13,2780.27,83
2017,39,CSRA 13,"Lawrence Prior, President and CEO",U.S.,2250,1684.85,34,4993,45
2017,40,Rockwell Collins,"Kelly Ortberg, President and CEO",U.S.,2210,2187,1,5250,42
2017,41,"Korea Aerospace Industries, LTD.","Sung-Yong Ha, President and CEO",South Korea,1818.69,1678.86,8,2666.58,68
2017,42,Aerojet Rocketdyne,"Eileen Drake, CEO and President",U.S.,1761.3,1708.3,3,1761.3,100
2017,43,St Engineering 14,"Vincent Chong, President and CEO",Singapore,1697.5,1659.32,2,4850,35
2017,44,LIG Nex1,"Lee Hyo-koo, CEO",South Korea,1618.1,1528.67,6,1618.1,100
2017,45,Uralvagonzavod 15,"Alexander PotaPov, CEO",Russia,1584.29,1014.39,56,2235.87,71
2017,46,KBR 16,"Stuart B. Bradie, President and CEO",U.S.,1532.64,535.02,186,4268,36
2017,47,Cobham 17,"David Lockwood, CEO",U.K.,1490.5,1965.5,-24,2634.12,57
2017,48,ManTech International,"George Pedersen, Chairman and CEO",U.S.,1454.25,1406,3,1601.6,91
2017,49,Safran 18,"Phillippe Petitcolin, CEO",France,1374.18,1405.26,-2,17516.91,8
2017,50,"Concern Rdaioelectronic Technologies, JSC","Nikolay Kolesov, CEO",Russia,1365.52,1678.41,-19,2090.53,65
2017,51,Dassault,"Serge Dassault, CEO",France,1356,1887,-28,3208.07,42
2017,52,Oshkosh Defense 19,"Wilson Jones, CEO",U.S.,1351.1,939.8,44,6279.2,22
2017,53,Accenture,"Pierre Nanterme, Chairman and CEO",U.S.,1315,1140,15,32900,4
2017,54,Fincantieri,"Giuseppe Bono, CEO",Italy,1306.51,1172.16,11,5004.56,26
2017,55,Serco 1,"Rupert Soames, CEO",U.K.,1305.14,1613.43,-19,4078.55,32
2017,56,DynCorp International 20,"George Krivo, CEO",U.S.,1277.64,1287.35,-1,1836.15,70
2017,57,Aselsan,"Faik Eken, CEO",Turkey,1195.28,1025.98,17,1243.47,96
2017,58,Vectrus 21,"Chuck Prow, CEO",U.S.,1190.52,1180,1,1190.52,100
2017,59,Bharat Electronics Ltd,"S.K. Sharma, Chairman & Managing Director",India,1164.9,982.12,19,1323.75,88
2017,60,PAE,"John Heller, CEO",U.S.,1145.14,939.5,22,2229.41,51
2017,61,Turkish Aerospace Industries 22,"Temel Kotil, President & CEO",Turkey,1083.75,886.55,22,1260.19,86
2017,62,Ukroboronprom,"Roman Romanov, General Director",Ukraine,1075.45,920,17,1075.45,100
2017,63,Fluor,"David Thomas Seaton, Chairman and CEO",U.S.,986.67,1019.66,-3,19036.53,5
2017,64,Nexter 23,"Stéphane Mayer, CEO",France,978.58,1187.7,-18,978.58,100
2017,65,Meggitt 1,"Stephen Young, CEO",U.K.,943.76,877.07,8,2696.45,35
2017,66,Embraer,"Paulo Cesar de Souza e Silva, CEO",Brazil,932.7,811.1,15,6217.5,15
2017,67,Vencore,"Mac Curtis, President and CEO",U.S.,886.59,880.48,1,1168.07,76
2017,68,Kawasaki Heavy Industries 824,"Shigeru Murayama, Chairman",Japan,884.66,1740.83,-49,13517.59,7
2017,69,Komatsu Ltd. 8,"Kunio Noji, Chairman",Japan,884.66,308.49,187,16045.81,6
2017,70,Cubic,"Bradley Feldmann, President & CEO",U.S.,875.3,864.2,1,1461.67,60
2017,71,Kongsberg 25,"Geir Håøy, CEO",Norway,870,894.29,-3,1900,46
2017,72,Engility,"Lynn Dugle, CEO",U.S.,847.91,888.72,-5,2076.42,41
2017,73,Austal,"David Singleton, CEO",Australia,842.97,920,-8,996.94,85
2017,74,Ruag,"Urs Breitmeier, CEO",Switzerland,826.1,816.19,1,1921.17,43
2017,75,Ultra Electronics,"Rakesh Sharma, CEO",U.K.,824.78,943.32,-13,1005.82,82
2017,76,Moog Inc.,"John Scannell, CEO",U.S.,819.31,848.39,-3,2411.94,34
2017,77,NEC,"Nobuhiro Endo, Chairman",Japan,805.45,921.83,-13,23718.5,3
2017,78,Curtis-Wright,"David Adams, Chairman and CEO",U.S.,793.73,787.27,1,2108.93,38
2017,79,QinetiQ Plc,"Steve Wadey, CEO",U.K.,783.68,912.22,-14,1004.72,78
2017,80,CAE,"Marc Parent, CEO",Canada,782.86,741.16,6,2041.9,38
2017,81,Fujitsu Ltd.,"Masami Yamamoto, Chairman",Japan,696.87,440.47,58,40135.44,2
2017,82,ViaSat,"Mark Dankberg, Chairman and CEO",U.S.,685.1,607.5,13,1559,44
2017,83,Mitsubishi Electric 8,"Masaki Sakuyama, President and CEO",Japan,682.63,784.42,-13,37723.54,2
2017,84,Indra,"Frenando Abril-Martorell, Chairman",Spain,671.22,601.62,12,3051,22
2017,85,AAR,"David Storch, Chairman, President and CEO",U.S.,652.3,589.8,11,1662.6,39
2017,86,RTI 26,"Maxim Kuzyuk, CEO",Russia,565.9,660.13,-14,753.55,75
2017,87,Denel,"Daniel Mantsha, Chairman",South Africa,559.5,415.49,35,559.5,100
2017,88,Ball,"Robert Strain, President",U.S.,551.2,577.3,-5,818.3,67
2017,89,Chemring 1,"Michael Flowers, CEO",U.K.,543.04,478.13,14,646.47,84
2017,90,Patria 27,"Olli Isotalo, President & CEO",Finland,530.6,431.42,23,559,95
2017,91,Day & Zimmermann,"Hal Yoh, Chairman and CEO",U.S.,521.4,559.36,-7,2420,22
2017,92,Israel Military Industries,"Avi Felder, President and CEO",Israel,496,511,-3,496,100
2017,93,Nammo,"Morten Brandtzæg, President and CEO",Norway,495,363.12,36,495,100
2017,94,Diehl Defence Holding,"Thomas Diehl, president & CEO",Germany,482.85,449.55,7,3785.1,13
2017,95,Battelle 28,"Jeff Wadsworth, CEO",U.S.,470,476,-1,4800,10
2017,96,Telephonics Corporation 29,"Kevin McSweeney, President",U.S.,403.23,397.68,1,1957.15,21
2017,100,IHI Corporation 8,"Tamotsu Saito, CEO",Japan,315.95,563.29,-44,13228.35,2
2016,1,Lockheed Martin 1 2,"Marillyn Hewson, Chairman, President and CEO",US,40596,40128,1,46132,88
2016,2,Boeing,"Dennis Muilenburg, President and CEO",US,30388,29000,5,96114,31.62
2016,3,BAE Systems,"Ian Graham King, CEO",UK,25278.08,25449,-1,27357.31,92.4
2016,4,Raytheon 1,"Thomas Kennedy, Chairman and CEO",US,21619.71,22228.2,-3,23247,93
2016,5,General Dynamics,"Phebe Novakovic, Chairman and CEO",US,19148,18561,3,31469,60.85
2016,6,Northrop Grumman,"Wes Bush, Chairman, President and CEO",US,17600,18400,-4,23526,74.81
2016,7,Airbus,"Fabrice BrŽgier, President and CEO",Netherlands,12776.1,14609.5,-13,71539.5,17.86
2016,8,Leonardo Spa 3,"Mauro Moretti, CEO and General Manager",Italy,9318.45,9808,-5,14424.45,64.6
2016,9,L-3 Communications,"Michael Strianese, Chairman, President and CEO",US,8772,9808,-11,10466,83.81
2016,10,Thales,"Patrice Caine, Chairman and CEO",France,7863.24,8461.6,-7,15609.93,50.37
2016,11,Almaz-Antey,"Yan Novikov, CEO",Russia,6965.77,9209.8,-24,6965.77,100
2016,12,Huntington Ingalls Industries,"Mike Petters, President and CEO",US,6879.6,6818,1,7020,98
2016,13,United Technologies Corporation 2,"Gregory Hayes, President, CEO and Director",US,6780,13020,-48,56500,12
2016,14,Rolls-Royce,"Warren East, CEO",UK,4790.28,5433.7,-12,19795.4,24.2
2016,15,Honeywell,"David Cote, CEO",US,4715,4754,-1,38581,12.22
2016,16,United Aircraft Corporation 4,"Yury Slyusar, President and Chairman",Russia,4643.76,6244,-26,5804.7,80
2016,17,Harris 5,"Bill Brown, Chairman, President and CEO",US,4400,2384.7,85,7467,58.93
2016,18,Textron,"Scott Donnelly, Chairman, President and CEO",US,4161.13,4719,-12,13423,31
2016,19,GE Aviation,"David Joyce, President and CEO",US,3700,4000,-8,24660,15
2016,20,Babcock International 1,"Peter Rogers, CEO",UK,3357.41,3558.8,-6,7298.72,46
2016,21,Safran,"Phillippe Petitcolin, CEO",France,3334.44,4081.3,-18,19329.54,17.25
2016,22,DCNS Group,"HervŽ Guillou, Chairman and CEO",US,3288.55,4074.7,-19,3363.3,97.78
2016,23,Leidos,"Roger Krone, Chairman and CEO",US,3248,3627,-10,5086,63.86
2016,24,Bechtel,"Bill Dudley, CEO",US,3230,3000,8,37200,8.68
2016,25,Russian Helicopters 3,"Alexander Mikheev, CEO",Russia,3193.99,3960,-19,3629.54,88
2016,26,Elbit Systems,"Bezhalel Machlis, President and CEO",Israel,3108,2958.2,5,3108,100
2016,27,Rheinmetall,"Armin Papperger, CEO",Germany,2876.01,2976.9,-3,5753,49.99
2016,28,SAIC,"Tony Moraco, CEO",US,2838,2735,4,4315,65.77
2016,29,Israel Aerospace Industries,"Joseph Weiss, President & CEO",Israel,2776,2785,0,3708,74.87
2016,30,Orbital ATK,"David Thompson, President and CEO",US,2775,2750,1,4515,61.46
2016,31,AECOM,"Michael Burke, Chairman and CEO",US,2735,4433,-38,17989.9,15.2
2016,32,Saab,"HŒkan Buskhe, President and CEO",Sweden,2643.83,2829.3,-7,3224.26,82
2016,33,Booz Allen Hamilton,"Horacio Rozanski, President and CEO",US,2600,4100,-37,5405.74,48.1
2016,34,KNDS 6,"Frank Haun and StŽphane Mayer, CEOs",Germany,2442,1096.2,123,2442,100
2016,35,Hindustan Aeronautics,"T. Suvarna Raju, Chairman and Managing Director",India,2410.97,2480.4,-3,2560.61,94.16
2016,36,Mitsubishi Heavy Industries 7,"Shunichi Miyanaga, President and CEO",Japan,2395.12,2626.7,-9,42761.81,5.6
2016,37,"Tactical Missiles Corporation, JSC","Boris Obnosov, Director General",Russia,2387.78,2147.8,11,2498.22,95.58
2016,38,Hanwha Group 8,"Seung Youn Kim, Chairman",South Korea,2374.74,1545,54,2427.72,97.82
2016,39,CACI International,"Ken Asbury, President and CEO",US,2217.03,2578,-14,3313.45,66.91
2016,40,Rockwell Collins,"Kelly Ortberg, President and CEO",US,2187,2209,-1,5244,41.7
2016,41,Rafael Advanced Defense Systems,"Yoav Har-Even, President and CEO",Israel,2016.17,2115,-5,2016.17,100
2016,42,Cobham,"Bob Murphy, CEO",UK,1965.5,1860,6,3170.16,62
2016,43,Dassault Group,"Serge Dassault, CEO",France,1887,1332.3,42,4662,40.48
2016,44,Kawasaki Heavy Industries 7,"Shigeru Murayama, President",Japan,1740.83,1909.2,-9,13523.72,12.87
2016,45,Aerojet Rocketdyne,"Eileen Drake, CEO and President",US,1708.3,1591.2,7,1708.3,100
2016,46,CSRA 9,"Lawrence Prior, President and CEO",US,1684.85,2177,-23,5191.25,32.46
2016,47,Korea Aerospace Industries,"Ha, Sung-Yong, President and CEO",South Korea,1678.86,1160,45,2552.91,65.76
2016,49,ST Engineering,"Tan Pheng Hock, President and CEO",Singapore,1659.32,2012.8,-18,4609.36,36
2016,50,Serco 1,"Rupert Soames, CEO",UK,1613.43,2174.8,-26,4609.36,35
2016,51,LIG Nex1,"Lee Hyo-koo, CEO",South Korea,1528.67,1330,15,1528.67,100
2016,52,ManTech International,"George Pedersen, Chairman and CEO",US,1406,1046.7,34,1550.12,90.7
2016,53,DynCorp,"S. Gordon Walsh, CEO",US,1287.35,1579,-18,1923.18,66.94
2016,54,Nexter Group 10,"StŽphane Mayer, CEO",France,1187.7,1392.8,-15,1187.7,100
2016,56,Fincantieri,"Giuseppe Bono, CEO",Italy,1172.16,1406.8,-17,4643.07,25.25
2016,57,Accenture,"Pierre Nanterme, Chairman and CEO",US,1140,1059.5,8,31000,3.68
2016,58,Aselsan,"Faik Eken, CEO",Turkey,1025.98,1109,-7,1025.98,100
2016,59,Fluor,"David Thomas Seaton, Chairman and CEO",US,1019.66,1319.3,-23,18100,5.63
2016,60,Uralvagonzavod,"Oleg Sienko, CEO",Russia,1014.39,1545,-34,1758.47,57.69
2016,61,Bharat Electronics,"S.K. Sharma, Chairman & Managing Director",India,982.12,875.7,12,1094.57,89.73
2016,62,GKN Aerospace,"Kevin Cummings, CEO",UK,953.47,990.2,-4,3820,24.96
2016,63,Ultra Electronics 1,"Rakesh Sharma, CEO",UK,943.32,951.5,-1,1109.79,85
2016,64,Oshkosh Defense 12,"Charles Szews, CEO",US,939.8,1725,-46,6098.1,15.41
2016,65,PAE,"John Heller, CEO",US,939.5,895.2,5,2109.53,44.54
2016,66,NEC 7,"Nobuhiro Endo, Chairman",Japan,921.83,1011,-9,26710.32,3.45
2016,67,Austal 13,"David Singleton, CEO",Australia,920,791,16,1060,86.79
2016,68,Ukroboronprom,"Roman Romanov, General Director",Ukraine,920,575.9,60,920,100
2016,69,QinetiQ,"Steve Wadey, CEO",UK,912.22,1017.9,-10,1154.56,79.01
2016,70,Kongsberg 14,"Walter Qvam, President & CEO",Norway,894.29,929.8,-4,2113.67,42.31
2016,71,Engility,"Lynn Dugle, CEO",US,888.72,1530,-42,2086,42.6
2016,72,Turkish Aerospace Industries,"Muharrem Dortkasli, President and CEO",Turkey,886.55,853.6,4,1034.65,85.69
2016,73,Vencore,"Mac Curtis, President and CEO",US,880.48,838.62,5,1155.05,76.23
2016,74,Meggitt 1,"Stephen Young, CEO",UK,877.07,888.7,-1,2505.92,35
2016,75,Cubic,"Bradley Feldmann, President & CEO",US,864.2,798.7,8,1431,60.39
2016,76,Moog,"John Scannell, CEO",US,848.39,837.8,1,2525.53,33.59
2016,77,ANA Holdings 7,"Shinya Katanozaka, President & CEO",Japan,844.48,926.1,-9,15592.46,5.42
2016,78,Ruag,"Urs Breitmeier, CEO",Switzerland,816.19,718.4,14,1813.76,45
2016,79,Embraer,"Paulo Cesar de Souza e Silva, CEO",Brazil,811.1,1459.5,-44,5928.1,13.68
2016,80,Curtiss-Wright,"David Adams, Chairman and CEO",US,787.27,749.6,5,2205.68,35.69
2016,81,Mitsubishi Electric 7,"Masaki Sakuyama, President and CEO",Japan,784.42,860.3,-9,39339.67,1.99
2016,82,CAE,"Gene Colabatistto, Group President, Defence & Security",Canada,741.16,755.6,-2,1919.17,38.62
2016,83,RTI,"Sergey Boev, General Director",Russia,660.13,947.2,-30,1050.6,62.83
2016,84,ViaSat 15,"Mark Dankberg, Chairman and CEO",US,607.5,535.5,13,1417,42.87
2016,85,Indra 16,"Frenando Abril-Martorell, Chairman",Spain,601.62,676,-11,3163.5,19.02
2016,86,AAR Corp.,"David Storch, Chairman, President and CEO",US,589.8,827.4,-29,1594.3,36.99
2016,87,Ball Aerospace,"David Taylor, President and CEO",US,577.3,681,-15,810.1,71.26
2016,88,IHI Corporation 7,"Tamotsu Saito, CEO",Japan,563.29,617.8,-9,15145.13,3.72
2016,89,Day & Zimmermann,"Hal Yoh, Chairman and CEO",US,559.36,555,1,2700,20.72
2016,90,Israel Military Industries,"Ian Graham King, CEO",Israel,511,475.8,7,511,100
2016,92,Chemring 1,"Michael Flowers, CEO",UK,478.13,723.7,-34,576.06,83
2016,93,Battelle,"Jeffrey Wadsworth, President and CEO",US,476,569.2,-16,4800,9.92
2016,94,Diehl Defence Holding,"Heinrich Schunk, President",Germany,449.55,648.5,-31,3450.44,13.03
2016,95,Fujitsu 7,"Masami Yamamoto, Chairman",Japan,440.47,525.9,-16,39727.9,1.11
2016,96,Patria 17,Heikki Allonen,Finland,431.42,555.8,-22,4747.47,9.09
2016,97,Denel,"Zoli - Kunene, Chairman",South Africa,415.49,454.6,-9,415.49,100
2016,98,Telephonics,"Joseph J. Battaglia, President and CEO",US,397.68,367.95,8,2016.03,19.73
2016,99,Nammo 11,"Morten Brandtzaeg, President and CEO",Norway,363.12,527.4,-31,453.96,79.99
2015,1,Lockheed Martin,"Marillyn Hewson, Chairman, President & CEO",US,40128,40494,-1,45600,88
2015,2,Boeing,"Dennis Muilenburg, President & CEO",US,29000,32000,-9,90762,32
2015,3,BAE Systems,"Ian King, CEO",UK,25449,28014,-9,27411.3,92.8
2015,4,Raytheon,"Thomas Kennedy, Chairman & CEO",US,22228.2,22047.6,1,22826,97.4
2015,5,General Dynamics,"Phebe Novakovic, Chairman & CEO",US,18561,18836,-1,30852,60.2
2015,6,Northrop Grumman,"Wes Bush, Chairman, President & CEO",US,18400,19500,-6,23979,76.7
2015,7,Airbus Group1,"Tom Enders, CEO",Netherlands,14609.5,16546.5,-12,80686.4,18.1
2015,8,United Technologies,"Gregory Hayes, President & CEO",US,13020,11894,9,65100,20
2015,9,Finmeccanica,"Mauro Moretti, CEO & General Manager",Italy,10561.4,10896.3,-3,19486.8,54.2
2015,10,L-3 Communications,"Michael Strianese, Chairman, President & CEO",US,9808,10336,-5,12124,80.9
2015,11,Almaz-Antey,"Yan Novikov, CEO",Russia,9209.8,8326.3,11,9209.8,100
2015,12,Thales2,"Patrice Caine, Chairman & CEO",France,8461.6,10961.6,-23,17242.2,49.1
2015,13,Huntington Ingalls Industries,"Mike Petters, President & CEO",US,6818,6324,8,6957,98
2015,14,United Aircraft Corp3,"Yury Slyusar, President & Chairman of Management Board",Russia,6244,5831.7,7,7805.3,80
2015,15,Rolls-Royce,"Warren East, CEO",UK,5433.7,6123.6,-11,24035.3,22.6
2015,16,Honeywell,"Tim Mahoney, President & CEO",US,4754,4900,-3,40300,11.8
2015,17,Textron,"Scott Donnelly, Chairman, President & CEO",US,4719,4236,11,13878,34
2015,18,AECOM4,"Michael Burke, Chairman & CEO",US,4433,1712.6,159,19641.2,22.6
2015,19,Booz Allen Hamilton,"Horacio Rozanski, President & CEO",US,4100,4300,-5,5479,74.8
2015,20,Safran,"Phillippe Petitcolin, CEO",France,4081.3,4027,1,20406.5,20
2015,21,DCNS,"Herve Guillou, CEO",France,4074.7,4601.7,-11,4074.7,100
2015,22,GE,"David Joyce, President & CEO",US,4000,4000,0,24000,16.7
2015,23,Russian Helicopters,"Alexander Mikheev, CEO",Russia,3960,3406.4,16,4500.8,88
2015,24,Leidos5,"Roger Krone, Chairman & CEO",US,3627,4080,-11,5063,71.6
2015,25,Babcock International3,"Peter Rogers, CEO",UK,3558.8,3423.8,4,7414.2,48
2015,26,United Engine-Building,"Vladislav Masalov, General Director",Russia,3323.6,2647,26,5405.2,61.5
2015,27,Bechtel,"Craig Albert, Chairman",US,3000,2600,15,37200,8.1
2015,28,Rheinmetall,"Armin Papperger, CEO",Germany,2976.9,2952.8,1,6230.3,47.8
2015,29,Elbit Systems6,"Bezhalel Machlis, President & CEO",Israel,2958.2,2925.2,1,2958.2,100
2015,30,Saab,"Håkan Bushke, President & CEO",Sweden,2829.3,2948.3,-4,3438.5,82.3
2015,31,Tactical Missiles,"Boris Obnosov, Director General",Russia,2812.6,1892.7,49,2960.6,95
2015,32,Israel Aerospace Industries6,"Joseph Weiss, President & CEO",Israel,2785,2646,5,3827,72.8
2015,33,Orbital ATK7 8,"David Thompson, President & CEO",US,2750,2525,9,4400,62.5
2015,34,SAIC5,"Tony Moraco, CEO",US,2735,2887,-5,3835,71.3
2015,35,Exelis9,"David Melcher, President & CEO",US,2644,2655,0,3277,80.7
2015,36,Mitsubishi Heavy Industries7,"Shunichi Miyanaga, President & CEO",Japan,2626.7,3354.9,-22,46897,5.6
2015,37,CACI International10,"Ken Asbury, President & CEO",US,2578,2735,-6,3565,72.3
2015,38,Hindustan Aeronautics7,"T. Suvarna Raju, Chairman & Managing Director",India,2480.4,2459,1,2531,98
